127.0.0.1, 2024-06-03 08:14:35, GET, /admin/static/_2.27.1/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.011002
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/static/_2.27.1/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.013001
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/static/_2.27.1/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.014003
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/static/_2.27.1/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.010001
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/static/_2.27.1/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.011002
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/static/_2.27.1/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.012001
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/static/_2.27.1/js/ajax_editor.js, HTTP/1.1, 200, 0.012000
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/static/_2.27.1/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.014998
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/static/_2.27.1/codemirror/emmet.min.js, HTTP/1.1, 200, 0.024998
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/static/_2.27.1/js/typeahead.min.js, HTTP/1.1, 200, 0.015996
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/static/_2.27.1/images/files_toggle.png, HTTP/1.1, 200, 0.005000
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/static/_2.27.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.005000
127.0.0.1, 2024-06-03 08:14:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.020998
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.041002
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.058999
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.077999
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/static/_2.27.1/images/save_icon.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2024-06-03 08:14:35, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.095999
127.0.0.1, 2024-06-03 08:14:35, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.063000
127.0.0.1, 2024-06-03 08:14:53, GET, /admin/default/site, HTTP/1.1, 200, 0.029999
127.0.0.1, 2024-06-03 08:14:53, GET, /admin/static/_2.27.1/images/folder.png, HTTP/1.1, 200, 0.005002
127.0.0.1, 2024-06-03 08:14:53, GET, /admin/static/_2.27.1/images/folder_locked.png, HTTP/1.1, 200, 0.005002
127.0.0.1, 2024-06-03 08:14:53, GET, /admin/static/_2.27.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.006001
127.0.0.1, 2024-06-03 08:14:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2024-06-03 08:14:53, POST, /admin/default/check_version, HTTP/1.1, 200, 0.711555
127.0.0.1, 2024-06-03 08:15:40, GET, /examples/default/index, HTTP/1.1, 200, 0.068992
127.0.0.1, 2024-06-03 08:15:40, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.006002
127.0.0.1, 2024-06-03 08:15:40, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.007003
127.0.0.1, 2024-06-03 08:15:40, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2024-06-03 08:15:40, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2024-06-03 08:15:40, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.005000
127.0.0.1, 2024-06-03 08:15:40, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.005000
127.0.0.1, 2024-06-03 08:15:40, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.018000
127.0.0.1, 2024-06-03 08:15:40, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.004001
127.0.0.1, 2024-06-03 08:15:40, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.004000
